seed,episode,episode_seed,steps,red_reward,blue_reward,blackout,detected,load_served_pct
27182,1,271820000,50,533.6389316709184,5009.844131346604,0,0,1.002530255694383
27182,2,271820001,50,523.1976228091127,5043.771279440846,0,0,1.0091624335615867
27182,3,271820002,50,527.828726520008,5078.143970620242,0,0,1.01402359598095
27182,4,271820003,21,-114.9855467892983,1752.9818457922918,1,1,0.0
27182,5,271820004,50,553.0791711907602,5018.018141871391,0,0,1.0020717551565923
27182,6,271820005,50,530.9135478922626,4982.32245205539,0,0,0.9968037295925327
27182,7,271820006,50,535.2032215066569,4957.812502653587,0,0,0.9920973014514683
27182,8,271820007,50,545.7771513388293,4988.897966737109,0,0,0.9991200715987131
27182,9,271820008,50,532.9414333037982,5027.744549096567,0,0,1.0082681970573832
27182,10,271820009,50,547.1640885679344,4891.517141715739,0,0,0.9785470813391873
16180,1,161800000,50,545.9565920305811,5031.0889517837695,0,0,1.0055948603389926
