episode,curriculum_level,scenario,steps,reward,rolling_avg_reward,loss,success_rate,blocked_action_frequency,rollback_count,containment_conflicts,policy_confidence,unsafe_action_count
89,1,LINE_FAULT,12,-417.67,-228.25,94723.5912,0.00,1.00,12,0,0.4167,12
90,1,LINE_FAULT,12,-417.22,-229.18,38477.4223,0.00,1.00,12,0,0.4167,12
91,1,LINE_FAULT,12,-417.22,-275.30,24565.3402,0.00,1.00,12,0,0.4167,12
92,1,OVERLOAD,12,23.45,-232.17,100.1560,1.00,1.00,12,1,0.1021,12
93,1,LINE_FAULT,12,-407.89,-232.45,27192.5773,0.00,1.00,12,0,0.4167,12
94,1,LINE_FAULT,12,-417.67,-233.72,12084.9689,0.00,1.00,12,0,0.4167,12
95,1,OVERLOAD,12,23.45,-235.27,84.0920,1.00,1.00,12,0,0.0999,12
96,1,LINE_FAULT,12,-424.58,-282.03,14675.8988,0.00,1.00,12,0,0.4167,12
97,1,LINE_FAULT,12,-399.79,-326.30,60998.6537,0.00,1.00,12,0,0.4167,12
98,1,LINE_FAULT,12,-417.67,-327.28,13824.4724,0.00,1.00,12,0,0.4167,12
99,1,OVERLOAD,12,8.45,-284.67,108.5062,1.00,1.00,12,1,0.1004,12
100,1,LINE_FAULT,12,-407.89,-283.73,108286.7541,0.00,1.00,12,0,0.4167,12
101,1,LINE_FAULT,12,-405.02,-282.51,24103.6457,0.00,1.00,12,0,0.4167,12
102,1,LINE_FAULT,12,-417.67,-326.63,14375.8318,0.00,1.00,12,0,0.4167,12
103,1,OVERLOAD,12,38.47,-281.99,239.6742,1.00,1.00,12,2,0.1016,12
104,1,OVERLOAD,12,37.99,-236.43,222.3025,1.00,1.00,12,1,0.1018,12
105,1,OVERLOAD,12,37.99,-234.97,220.6104,1.00,1.00,12,0,0.0989,12
106,1,OVERLOAD,12,37.99,-188.72,222.0554,1.00,1.00,12,2,0.1019,12
107,1,OVERLOAD,12,22.99,-146.44,80.9527,1.00,1.00,12,1,0.1012,12
108,1,LINE_FAULT,12,-407.89,-145.46,139079.0502,0.00,1.00,12,0,0.4167,12
109,1,OVERLOAD,12,38.94,-142.41,210.4861,1.00,1.00,12,1,0.0977,12
110,1,OVERLOAD,12,27.99,-98.82,171.5922,1.00,1.00,12,1,0.1012,12
111,1,OVERLOAD,12,37.99,-54.52,198.6325,1.00,1.00,12,1,0.0976,12
112,1,LINE_FAULT,12,-407.89,-53.54,645152.6857,0.00,1.00,12,0,0.4167,12
113,1,LINE_FAULT,12,-417.67,-99.16,13968.2543,0.00,1.00,12,0,0.4167,12
114,1,OVERLOAD,12,23.45,-100.61,67.4814,1.00,1.00,12,1,0.1015,12
115,1,LINE_FAULT,12,-424.58,-146.87,13568.3690,0.00,1.00,12,0,0.4167,12
116,1,LINE_FAULT,12,-399.79,-190.65,3121330.4089,0.00,1.00,12,0,0.4167,12
117,1,OVERLOAD,12,33.94,-189.55,155.8259,1.00,1.00,12,0,0.1008,12
118,1,OVERLOAD,12,22.99,-146.46,48.3708,1.00,1.00,12,1,0.1012,12
119,1,LINE_FAULT,12,-407.89,-191.15,10784485.2790,0.00,1.00,12,0,0.4167,12
120,1,LINE_FAULT,12,-417.67,-235.71,18778.9834,0.00,1.00,12,0,0.4167,12
121,1,OVERLOAD,12,43.47,-235.16,253.6663,1.00,1.00,12,1,0.1014,12
122,1,OVERLOAD,12,42.99,-190.08,247.4615,1.00,1.00,12,1,0.1024,12
123,1,OVERLOAD,12,22.99,-146.01,53.3637,1.00,1.00,12,1,0.0975,12
124,1,LINE_FAULT,12,-407.89,-189.14,24258044.8401,0.00,1.00,12,0,0.4167,12
125,1,LINE_FAULT,12,-405.02,-187.19,2445610.1619,0.00,1.00,12,0,0.4167,12
126,1,OVERLOAD,12,28.95,-144.31,59.6635,1.00,1.00,12,1,0.1049,12
127,1,LINE_FAULT,12,-407.89,-188.50,1907712.1734,0.00,1.00,12,0,0.4167,12
128,1,LINE_FAULT,12,-417.67,-232.56,24032.0062,0.00,1.00,12,0,0.4167,12
129,1,LINE_FAULT,12,-417.22,-233.50,12398.9694,0.00,1.00,12,0,0.4167,12
130,1,OVERLOAD,12,43.45,-187.38,242.4360,1.00,1.00,12,1,0.0981,12
131,1,LINE_FAULT,12,-424.58,-234.19,13827.0235,0.00,1.00,12,0,0.4167,12
132,1,OVERLOAD,12,43.45,-234.14,184.6941,1.00,1.00,12,1,0.1015,12
133,1,LINE_FAULT,12,-424.58,-278.90,12221.6764,0.00,1.00,12,0,0.4167,12
134,1,OVERLOAD,12,23.45,-235.76,83.5658,1.00,1.00,12,1,0.0950,12
135,1,OVERLOAD,12,37.99,-191.46,145.3854,1.00,1.00,12,1,0.0974,12
136,1,OVERLOAD,12,17.99,-192.56,45.0119,1.00,1.00,12,0,0.0990,12
137,1,LINE_FAULT,12,-424.58,-194.23,13751.6684,0.00,1.00,12,0,0.4167,12
138,1,LINE_FAULT,12,-417.22,-194.19,12033.9970,0.00,1.00,12,0,0.4167,12
139,1,LINE_FAULT,12,-399.79,-192.44,1441965.6919,0.00,1.00,12,0,0.4167,12
140,1,LINE_FAULT,12,-405.02,-237.29,163854.9103,0.00,1.00,12,0,0.4167,12
141,1,LINE_FAULT,12,-417.67,-236.60,15684.1787,0.00,1.00,12,0,0.4167,12
142,1,LINE_FAULT,12,-417.22,-282.67,12414.7663,0.00,1.00,12,0,0.4167,12
143,1,OVERLOAD,12,38.45,-236.36,125.5353,1.00,1.00,12,2,0.1021,12
144,1,LINE_FAULT,12,-424.58,-281.17,15825.8193,0.00,1.00,12,0,0.4167,12
145,1,LINE_FAULT,12,-417.22,-326.69,13990.8073,0.00,1.00,12,0,0.4167,12
146,1,LINE_FAULT,12,-417.22,-370.21,12481.0483,0.00,1.00,12,0,0.4167,12
147,1,LINE_FAULT,12,-417.22,-369.47,13313.8877,0.00,1.00,12,0,0.4167,12
148,1,LINE_FAULT,12,-399.79,-367.73,64590.8493,0.00,1.00,12,0,0.4167,12
149,1,LINE_FAULT,12,-405.02,-368.25,23635.3221,0.00,1.00,12,0,0.4167,12
